"","Provinces","City","Population","Households","PersInHou","Male","Female","SexRatio"
"2","서울특별시","종로구 ",155695,72882,2.14,76962,78733,0.98
"3","서울특별시","중구 ",126817,59614,2.13,63292,63525,1
"4","서울특별시","용산구 ",235186,108138,2.17,114119,121067,0.94
"5","서울특별시","성동구 ",298145,126915,2.35,148265,149880,0.99
"6","서울특별시","광진구 ",362197,158769,2.28,177946,184251,0.97
"7","서울특별시","동대문구 ",362604,160110,2.26,181825,180779,1.01
"8","서울특별시","중랑구 ",417976,177077,2.36,208657,209319,1
"9","서울특별시","성북구 ",464176,192670,2.41,227676,236500,0.96
"10","서울특별시","강북구 ",333523,141325,2.36,164304,169219,0.97
"11","서울특별시","도봉구 ",353284,137260,2.57,174075,179209,0.97
"12","서울특별시","노원구 ",579324,220403,2.63,282601,296723,0.95
"13","서울특별시","은평구 ",499399,203159,2.46,244160,255239,0.96
"14","서울특별시","서대문구 ",307843,134004,2.3,149921,157922,0.95
"15","서울특별시","마포구 ",389937,171691,2.27,187989,201948,0.93
"16","서울특별시","양천구 ",485800,179315,2.71,240817,244983,0.98
"17","서울특별시","강서구 ",588559,236939,2.48,287809,300750,0.96
"18","서울특별시","구로구 ",425288,172797,2.46,212482,212806,1
"19","서울특별시","금천구 ",238367,104331,2.28,121752,116615,1.04
"20","서울특별시","영등포구 ",381647,168314,2.27,190907,190740,1
"21","서울특별시","동작구 ",406536,172464,2.36,199601,206935,0.96
"22","서울특별시","관악구 ",512921,249481,2.06,259364,253557,1.02
"23","서울특별시","서초구 ",447076,172770,2.59,215100,231976,0.93
"24","서울특별시","강남구 ",575912,237198,2.43,276091,299821,0.92
"25","서울특별시","송파구 ",664804,257528,2.58,324817,339987,0.96
"26","서울특별시","강동구 ",465834,182324,2.55,232242,233592,0.99
"28","부산광역시","중구 ",46519,23454,1.98,22832,23687,0.96
"29","부산광역시","서구 ",117028,53304,2.2,57586,59442,0.97
"30","부산광역시","동구 ",93456,43726,2.14,46344,47112,0.98
"31","부산광역시","영도구 ",130825,56561,2.31,64962,65863,0.99
"32","부산광역시","부산진구 ",386303,165875,2.33,189294,197009,0.96
"33","부산광역시","동래구 ",273857,106707,2.57,134691,139166,0.97
"34","부산광역시","남구 ",286051,114877,2.49,140911,145140,0.97
"35","부산광역시","북구 ",306292,116467,2.63,152450,153842,0.99
"36","부산광역시","해운대구 ",423428,163386,2.59,206284,217144,0.95
"37","부산광역시","사하구 ",340788,134892,2.53,170367,170421,1
"38","부산광역시","금정구 ",248177,101090,2.46,122166,126011,0.97
"39","부산광역시","강서구 ",86771,35770,2.43,45035,41736,1.08
"40","부산광역시","연제구 ",207314,83206,2.49,101973,105341,0.97
"41","부산광역시","수영구 ",179815,75581,2.38,86287,93528,0.92
"42","부산광역시","사상구 ",240772,96928,2.48,122522,118250,1.04
"43","부산광역시","기장군 ",150095,58617,2.56,74271,75824,0.98
"45","대구광역시","중구 ",80793,38102,2.12,39418,41375,0.95
"46","대구광역시","동구 ",349742,143591,2.44,174444,175298,1
"47","대구광역시","서구 ",207902,89987,2.31,105281,102621,1.03
"48","대구광역시","남구 ",162168,75003,2.16,79030,83138,0.95
"49","대구광역시","북구 ",443447,168793,2.63,221957,221490,1
"50","대구광역시","수성구 ",452147,164989,2.74,221112,231035,0.96
"51","대구광역시","달서구 ",606232,225780,2.69,301555,304677,0.99
"52","대구광역시","달성군 ",188706,71469,2.64,96478,92228,1.05
"54","인천광역시","중구 ",114125,50950,2.24,59086,55039,1.07
"55","인천광역시","동구 ",73495,30640,2.4,37047,36448,1.02
"56","인천광역시","남구 ",406990,171796,2.37,205669,201321,1.02
"57","인천광역시","연수구 ",311316,112832,2.76,155495,155821,1
"58","인천광역시","남동구 ",523673,204594,2.56,261270,262403,1
"59","인천광역시","부평구 ",557762,217046,2.57,277892,279870,0.99
"60","인천광역시","계양구 ",337721,127772,2.64,169288,168433,1.01
"61","인천광역시","서구 ",500981,187991,2.66,253068,247913,1.02
"62","인천광역시","강화군 ",67383,30439,2.21,33790,33593,1.01
"63","인천광역시","옹진군 ",20825,11172,1.86,11715,9110,1.29
"65","광주광역시","동구 ",100554,46364,2.17,50175,50379,1
"66","광주광역시","서구 ",308346,120061,2.57,151674,156672,0.97
"67","광주광역시","남구 ",220613,86777,2.54,106873,113740,0.94
"68","광주광역시","북구 ",448490,178223,2.52,222943,225547,0.99
"69","광주광역시","광산구 ",398971,146516,2.72,200143,198828,1.01
"71","대전광역시","동구 ",242758,101201,2.4,122809,119949,1.02
"72","대전광역시","중구 ",258365,103329,2.5,128543,129822,0.99
"73","대전광역시","서구 ",494953,189193,2.62,243875,251078,0.97
"74","대전광역시","유성구 ",330231,124114,2.66,166648,163583,1.02
"75","대전광역시","대덕구 ",199349,77379,2.58,101387,97962,1.03
"77","울산광역시","중구 ",241745,94073,2.57,123617,118128,1.05
"78","울산광역시","남구 ",345481,133430,2.59,176338,169143,1.04
"79","울산광역시","동구 ",174903,67895,2.58,92772,82131,1.13
"80","울산광역시","북구 ",190203,66723,2.85,98278,91925,1.07
"81","울산광역시","울주군 ",217436,85108,2.55,111940,105496,1.06
"85","경기도","수원시 ",1177851,457894,2.57,592971,584880,1.01
"86","경기도","수원시 장안구 ",300501,114938,2.61,151051,149450,1.01
"87","경기도","수원시 권선구 ",343624,133091,2.58,173141,170483,1.02
"88","경기도","수원시 팔달구 ",201569,87548,2.3,101226,100343,1.01
"89","경기도","수원시 영통구 ",332157,122317,2.72,167553,164604,1.02
"90","경기도","성남시 ",972466,389265,2.5,483718,488748,0.99
"91","경기도","성남시 수정구 ",221336,99798,2.22,112914,108422,1.04
"92","경기도","성남시 중원구 ",250637,104951,2.39,127087,123550,1.03
"93","경기도","성남시 분당구 ",500493,184516,2.71,243717,256776,0.95
"94","경기도","의정부시 ",431149,170576,2.53,212979,218170,0.98
"95","경기도","안양시 ",599215,223366,2.68,298309,300906,0.99
"96","경기도","안양시 만안구 ",247111,97312,2.54,124398,122713,1.01
"97","경기도","안양시 동안구 ",352104,126054,2.79,173911,178193,0.98
"98","경기도","부천시 ",852220,327475,2.6,426251,425969,1
"99","경기도","부천시 원미구 ",442854,169272,2.62,220442,222412,0.99
"100","경기도","부천시 소사구 ",224374,86716,2.59,111631,112743,0.99
"101","경기도","부천시 오정구 ",184992,71487,2.59,94178,90814,1.04
"102","경기도","광명시 ",346565,128507,2.7,171729,174836,0.98
"103","경기도","평택시 ",454231,185058,2.45,231507,222724,1.04
"104","경기도","동두천시 ",97494,41771,2.33,48637,48857,1
"105","경기도","안산시 ",703973,283031,2.49,360882,343091,1.05
"106","경기도","안산시 상록구 ",380882,152497,2.5,194112,186770,1.04
"107","경기도","안산시 단원구 ",323091,130534,2.48,166770,156321,1.07
"108","경기도","고양시 ",1015972,387074,2.62,500004,515968,0.97
"109","경기도","고양시 덕양구 ",432114,169527,2.55,214927,217187,0.99
"110","경기도","고양시 일산동구 ",284894,110919,2.57,139284,145610,0.96
"111","경기도","고양시 일산서구 ",298964,106628,2.8,145793,153171,0.95
"112","경기도","과천시 ",69922,25301,2.76,33984,35938,0.95
"113","경기도","구리시 ",186772,71537,2.61,93143,93629,0.99
"114","경기도","남양주시 ",642958,241279,2.66,321463,321495,1
"115","경기도","오산시 ",207744,81114,2.56,106442,101302,1.05
"116","경기도","시흥시 ",392978,155729,2.52,206184,186794,1.1
"117","경기도","군포시 ",288519,106609,2.71,143624,144895,0.99
"118","경기도","의왕시 ",157933,58318,2.71,78905,79028,1
"119","경기도","하남시 ",157007,62842,2.5,79833,77174,1.03
"120","경기도","용인시 ",970062,351169,2.76,482584,487478,0.99
"121","경기도","용인시 처인구 ",220985,87132,2.54,113534,107451,1.06
"122","경기도","용인시 기흥구 ",406765,146244,2.78,201354,205411,0.98
"123","경기도","용인시 수지구 ",342312,117793,2.91,167696,174616,0.96
"124","경기도","파주시 ",417353,169109,2.47,212065,205288,1.03
"125","경기도","이천시 ",205239,80603,2.55,104387,100852,1.04
"126","경기도","안성시 ",181445,74214,2.44,92643,88802,1.04
"127","경기도","김포시 ",345128,131081,2.63,173467,171661,1.01
"128","경기도","화성시 ",568265,214894,2.64,293755,274510,1.07
"129","경기도","광주시 ",305770,120929,2.53,157334,148436,1.06
"130","경기도","양주시 ",203695,79259,2.57,103532,100163,1.03
"131","경기도","포천시 ",155740,67799,2.3,81623,74117,1.1
"132","경기도","여주시 ",110677,46628,2.37,55948,54729,1.02
"133","경기도","연천군 ",45333,20925,2.17,23517,21816,1.08
"134","경기도","가평군 ",61693,28235,2.18,31589,30104,1.05
"135","경기도","양평군 ",106694,47930,2.23,53977,52717,1.02
"137","강원도","춘천시 ",276834,114092,2.43,136390,140444,0.97
"138","강원도","원주시 ",329359,136033,2.42,163733,165626,0.99
"139","강원도","강릉시 ",215089,93252,2.31,106836,108253,0.99
"140","강원도","동해시 ",94117,40192,2.34,47650,46467,1.03
"141","강원도","태백시 ",47994,22404,2.14,24382,23612,1.03
"142","강원도","속초시 ",82079,37005,2.22,40412,41667,0.97
"143","강원도","삼척시 ",71564,34975,2.05,36408,35156,1.04
"144","강원도","홍천군 ",70400,31344,2.25,35973,34427,1.04
"145","강원도","횡성군 ",45573,20550,2.22,23198,22375,1.04
"146","강원도","영월군 ",40113,19721,2.03,20600,19513,1.06
"147","강원도","평창군 ",43624,20493,2.13,22295,21329,1.05
"148","강원도","정선군 ",39284,19460,2.02,20286,18998,1.07
"149","강원도","철원군 ",49122,21860,2.25,26014,23108,1.13
"150","강원도","화천군 ",26790,13433,1.99,14989,11801,1.27
"151","강원도","양구군 ",24283,11162,2.18,13069,11214,1.17
"152","강원도","인제군 ",33352,15608,2.14,18121,15231,1.19
"153","강원도","고성군 ",30066,15485,1.94,16109,13957,1.15
"154","강원도","양양군 ",27523,13304,2.07,14022,13501,1.04
"156","충청북도","청주시 ",832387,334276,2.49,417505,414882,1.01
"157","충청북도","청주시 상당구 ",178536,70873,2.52,89037,89499,0.99
"158","충청북도","청주시 서원구 ",222817,88212,2.53,110729,112088,0.99
"159","충청북도","청주시 흥덕구 ",251652,101572,2.48,126533,125119,1.01
"160","충청북도","청주시 청원구 ",179382,73619,2.44,91206,88176,1.03
"161","충청북도","충주시 ",208173,87078,2.39,104828,103345,1.01
"162","충청북도","제천시 ",136457,59718,2.29,68421,68036,1.01
"163","충청북도","보은군 ",34078,15953,2.14,17023,17055,1
"164","충청북도","옥천군 ",52645,22990,2.29,26477,26168,1.01
"165","충청북도","영동군 ",51038,23568,2.17,25483,25555,1
"166","충청북도","증평군 ",35894,15334,2.34,18422,17472,1.05
"167","충청북도","진천군 ",66685,29079,2.29,34656,32029,1.08
"168","충청북도","괴산군 ",38027,19145,1.99,19309,18718,1.03
"169","충청북도","음성군 ",95956,42496,2.26,50280,45676,1.1
"170","충청북도","단양군 ",30841,14549,2.12,15504,15337,1.01
"172","충청남도","천안시 ",602939,246060,2.45,306391,296548,1.03
"173","충청남도","천안시 동남구 ",260326,106766,2.44,131859,128467,1.03
"174","충청남도","천안시 서북구 ",342613,139294,2.46,174532,168081,1.04
"175","충청남도","공주시 ",112282,48681,2.31,56506,55776,1.01
"176","충청남도","보령시 ",104738,46402,2.26,52928,51810,1.02
"177","충청남도","아산시 ",295751,121347,2.44,151602,144149,1.05
"178","충청남도","서산시 ",168415,68922,2.44,86316,82099,1.05
"179","충청남도","논산시 ",124542,55829,2.23,62267,62275,1
"180","충청남도","계룡시 ",40052,13817,2.9,19904,20148,0.99
"181","충청남도","당진시 ",164121,71376,2.3,85875,78246,1.1
"182","충청남도","금산군 ",54990,24986,2.2,27841,27149,1.03
"183","충청남도","부여군 ",71388,32579,2.19,35444,35944,0.99
"184","충청남도","서천군 ",57198,26640,2.15,28151,29047,0.97
"185","충청남도","청양군 ",32191,14951,2.15,16067,16124,1
"186","충청남도","홍성군 ",92766,40051,2.32,46287,46479,1
"187","충청남도","예산군 ",84158,37398,2.25,42214,41944,1.01
"188","충청남도","태안군 ",62913,29505,2.13,31753,31160,1.02
"190","전라북도","전주시 ",654138,253702,2.58,322350,331788,0.97
"191","전라북도","전주시 완산구 ",366172,141829,2.58,178969,187203,0.96
"192","전라북도","전주시 덕진구 ",287966,111873,2.57,143381,144585,0.99
"193","전라북도","군산시 ",278441,113922,2.44,141385,137056,1.03
"194","전라북도","익산시 ",302913,122364,2.48,151186,151727,1
"195","전라북도","정읍시 ",116576,52131,2.24,57634,58942,0.98
"196","전라북도","남원시 ",85214,37119,2.3,41768,43446,0.96
"197","전라북도","김제시 ",89402,41431,2.16,44304,45098,0.98
"198","전라북도","완주군 ",92155,39046,2.36,47321,44834,1.06
"199","전라북도","진안군 ",26325,12531,2.1,13168,13157,1
"200","전라북도","무주군 ",25181,11723,2.15,12451,12730,0.98
"201","전라북도","장수군 ",23308,10877,2.14,11557,11751,0.98
"202","전라북도","임실군 ",29580,14071,2.1,15027,14553,1.03
"203","전라북도","순창군 ",29340,13483,2.18,14223,15117,0.94
"204","전라북도","고창군 ",59725,28490,2.1,29431,30294,0.97
"205","전라북도","부안군 ",57370,27460,2.09,28419,28951,0.98
"207","전라남도","목포시 ",238210,99760,2.39,118899,119311,1
"208","전라남도","여수시 ",290638,116998,2.48,147403,143235,1.03
"209","전라남도","순천시 ",277280,106473,2.6,138273,139007,0.99
"210","전라남도","나주시 ",94945,44933,2.11,47935,47010,1.02
"211","전라남도","광양시 ",152296,59038,2.58,78213,74083,1.06
"212","전라남도","담양군 ",46986,21845,2.15,23676,23310,1.02
"213","전라남도","곡성군 ",30850,15060,2.05,15050,15800,0.95
"214","전라남도","구례군 ",27115,12465,2.18,13181,13934,0.95
"215","전라남도","고흥군 ",68932,34613,1.99,33126,35806,0.93
"216","전라남도","보성군 ",45393,22293,2.04,21949,23444,0.94
"217","전라남도","화순군 ",66040,29307,2.25,32476,33564,0.97
"218","전라남도","장흥군 ",41087,20068,2.05,19916,21171,0.94
"219","전라남도","강진군 ",39098,18666,2.09,18647,20451,0.91
"220","전라남도","해남군 ",76500,35272,2.17,37188,39312,0.95
"221","전라남도","영암군 ",58632,27349,2.14,29953,28679,1.04
"222","전라남도","무안군 ",82092,34815,2.36,41043,41049,1
"223","전라남도","함평군 ",34962,17506,2,17314,17648,0.98
"224","전라남도","영광군 ",56350,25970,2.17,28029,28321,0.99
"225","전라남도","장성군 ",46071,21312,2.16,23255,22816,1.02
"226","전라남도","완도군 ",53123,25444,2.09,26489,26634,0.99
"227","전라남도","진도군 ",32472,15829,2.05,15779,16693,0.95
"228","전라남도","신안군 ",43566,22248,1.96,22899,20667,1.11
"230","경상북도","포항시 ",517904,208397,2.49,262235,255669,1.03
"231","경상북도","포항시 남구 ",246634,101508,2.43,126907,119727,1.06
"232","경상북도","포항시 북구 ",271270,106889,2.54,135328,135942,1
"233","경상북도","경주시 ",260590,112370,2.32,130420,130170,1
"234","경상북도","김천시 ",137030,58623,2.34,68259,68771,0.99
"235","경상북도","안동시 ",168242,72013,2.34,82937,85305,0.97
"236","경상북도","구미시 ",420226,167453,2.51,214442,205784,1.04
"237","경상북도","영주시 ",110246,48110,2.29,54834,55412,0.99
"238","경상북도","영천시 ",100554,46720,2.15,50580,49974,1.01
"239","경상북도","상주시 ",102434,45997,2.23,50213,52221,0.96
"240","경상북도","문경시 ",75577,34231,2.21,37049,38528,0.96
"241","경상북도","경산시 ",255871,105475,2.43,128800,127071,1.01
"242","경상북도","군위군 ",24096,12091,1.99,12054,12042,1
"243","경상북도","의성군 ",54736,27346,2,26649,28087,0.95
"244","경상북도","청송군 ",26353,13233,1.99,13063,13290,0.98
"245","경상북도","영양군 ",17984,8769,2.05,8854,9130,0.97
"246","경상북도","영덕군 ",39364,20010,1.97,18684,20680,0.9
"247","경상북도","청도군 ",43710,21313,2.05,21368,22342,0.96
"248","경상북도","고령군 ",34655,16132,2.15,17638,17017,1.04
"249","경상북도","성주군 ",45383,21386,2.12,23248,22135,1.05
"250","경상북도","칠곡군 ",121846,52596,2.32,63129,58717,1.08
"251","경상북도","예천군 ",44893,21428,2.1,22018,22875,0.96
"252","경상북도","봉화군 ",33821,16316,2.07,16798,17023,0.99
"253","경상북도","울진군 ",51972,24776,2.1,25828,26144,0.99
"254","경상북도","울릉군 ",10304,5365,1.92,5518,4786,1.15
"256","경상남도","창원시 ",1072222,414432,2.59,544949,527273,1.03
"257","경상남도","창원시 의창구 ",258719,100745,2.57,132077,126642,1.04
"258","경상남도","창원시 성산구 ",237307,84309,2.81,121567,115740,1.05
"259","경상남도","창원시 마산합포구 ",181700,75269,2.41,90604,91096,0.99
"260","경상남도","창원시 마산회원구 ",212270,83276,2.55,107525,104745,1.03
"261","경상남도","창원시 진해구 ",182226,70833,2.57,93176,89050,1.05
"262","경상남도","진주시 ",342724,136758,2.51,169678,173046,0.98
"263","경상남도","통영시 ",139298,58759,2.37,70543,68755,1.03
"264","경상남도","사천시 ",116082,50336,2.31,58211,57871,1.01
"265","경상남도","김해시 ",527380,196179,2.69,266364,261016,1.02
"266","경상남도","밀양시 ",107679,48666,2.21,52713,54966,0.96
"267","경상남도","거제시 ",252823,100073,2.53,133497,119326,1.12
"268","경상남도","양산시 ",296521,115235,2.57,149300,147221,1.01
"269","경상남도","의령군 ",28791,14449,1.99,13845,14946,0.93
"270","경상남도","함안군 ",69256,30798,2.25,34958,34298,1.02
"271","경상남도","창녕군 ",63534,30093,2.11,31372,32162,0.98
"272","경상남도","고성군 ",55563,25870,2.15,27848,27715,1
"273","경상남도","남해군 ",46238,22259,2.08,22105,24133,0.92
"274","경상남도","하동군 ",50068,23392,2.14,24713,25355,0.97
"275","경상남도","산청군 ",36122,17985,2.01,17630,18492,0.95
"276","경상남도","함양군 ",40314,19229,2.1,19259,21055,0.91
"277","경상남도","거창군 ",63069,27724,2.27,30582,32487,0.94
"278","경상남도","합천군 ",48856,24193,2.02,23231,25625,0.91
"280","제주특별자치도","제주시 ",454673,182709,2.49,227549,227124,1
"281","제주특별자치도","서귀포시 ",160577,68769,2.34,81078,79499,1.02
