date,s_price,s_rate
2015-03-25,1485000 ,
2015-03-26,1421000 ,-4.310 
2015-03-27,1421000 ,0.000 
2015-03-30,1428000 ,0.493 
2015-03-31,1441000 ,0.910 
2015-04-01,1423000 ,-1.249 
2015-04-02,1434000 ,0.773 
2015-04-03,1434000 ,0.000 
2015-04-06,1470000 ,2.510 
2015-04-07,1462000 ,-0.544 
2015-04-08,1479000 ,1.163 
2015-04-09,1483000 ,0.270 
2015-04-10,1490000 ,0.472 
2015-04-13,1479000 ,-0.738 
2015-04-14,1474000 ,-0.338 
2015-04-15,1446000 ,-1.900 
2015-04-16,1477000 ,2.144 
2015-04-17,1450000 ,-1.828 
2015-04-20,1430000 ,-1.379 
2015-04-21,1444000 ,0.979 
2015-04-22,1461000 ,1.177 
2015-04-23,1451000 ,-0.684 
2015-04-24,1410000 ,-2.826 
2015-04-27,1395000 ,-1.064 
2015-04-28,1366000 ,-2.079 
2015-04-29,1385000 ,1.391 
2015-04-30,1410000 ,1.805 
2015-05-04,1400000 ,-0.709 
2015-05-06,1362000 ,-2.714 
2015-05-07,1370000 ,0.587 
2015-05-08,1338000 ,-2.336 
2015-05-11,1336000 ,-0.149 
2015-05-12,1331000 ,-0.374 
2015-05-13,1333000 ,0.150 
2015-05-14,1340000 ,0.525 
2015-05-15,1326000 ,-1.045 
2015-05-18,1320000 ,-0.452 
2015-05-19,1338000 ,1.364 
2015-05-20,1366000 ,2.093 
2015-05-21,1352000 ,-1.025 
2015-05-22,1350000 ,-0.148 
2015-05-26,1362000 ,0.889 
2015-05-27,1314000 ,-3.524 
2015-05-28,1309000 ,-0.381 
2015-05-29,1307000 ,-0.153 
2015-06-01,1291000 ,-1.224 
2015-06-02,1303000 ,0.930 
2015-06-03,1273000 ,-2.302 
2015-06-04,1337000 ,5.027 
2015-06-05,1341000 ,0.299 
2015-06-08,1314000 ,-2.013 
2015-06-09,1282000 ,-2.435 
2015-06-10,1262000 ,-1.560 
2015-06-11,1257000 ,-0.396 
2015-06-12,1277000 ,1.591 
2015-06-15,1270000 ,-0.548 
2015-06-16,1255000 ,-1.181 
2015-06-17,1254000 ,-0.080 
2015-06-18,1265000 ,0.877 
2015-06-19,1266000 ,0.079 
2015-06-22,1281000 ,1.185 
2015-06-23,1321000 ,3.123 
2015-06-24,1302000 ,-1.438 
2015-06-25,1269000 ,-2.535 
2015-06-26,1278000 ,0.709 
2015-06-29,1281000 ,0.235 
2015-06-30,1268000 ,-1.015 
2015-07-01,1295000 ,2.129 
2015-07-02,1299000 ,0.309 
2015-07-03,1268000 ,-2.386 
2015-07-06,1230000 ,-2.997 
2015-07-07,1240000 ,0.813 
2015-07-08,1239000 ,-0.081 
2015-07-09,1265000 ,2.098 
2015-07-10,1259000 ,-0.474 
2015-07-13,1266000 ,0.556 
2015-07-14,1225000 ,-3.239 
2015-07-15,1235000 ,0.816 
2015-07-16,1282000 ,3.806 
2015-07-17,1305000 ,1.794 
2015-07-20,1275000 ,-2.299 
2015-07-21,1263000 ,-0.941 
2015-07-22,1253000 ,-0.792 
2015-07-23,1234000 ,-1.516 
2015-07-24,1229000 ,-0.405 
2015-07-27,1230000 ,0.081 
2015-07-28,1230000 ,0.000 
2015-07-29,1263000 ,2.683 
2015-07-30,1215000 ,-3.800 
2015-07-31,1185000 ,-2.469 
2015-08-03,1175000 ,-0.844 
2015-08-04,1182000 ,0.596 
2015-08-05,1159000 ,-1.946 
2015-08-06,1115000 ,-3.796 
2015-08-07,1136000 ,1.883 
2015-08-10,1141000 ,0.440 
2015-08-11,1157000 ,1.402 
2015-08-12,1154000 ,-0.259 
2015-08-13,1140000 ,-1.213 
2015-08-17,1104000 ,-3.158 
2015-08-18,1131000 ,2.446 
2015-08-19,1154000 ,2.034 
2015-08-20,1139000 ,-1.300 
2015-08-21,1101000 ,-3.336 
2015-08-24,1079000 ,-1.998 
2015-08-25,1079000 ,0.000 
2015-08-26,1067000 ,-1.112 
2015-08-27,1067000 ,0.000 
2015-08-28,1081000 ,1.312 
2015-08-31,1089000 ,0.740 
2015-09-01,1085000 ,-0.367 
2015-09-02,1090000 ,0.461 
2015-09-03,1122000 ,2.936 
2015-09-04,1129000 ,0.624 
2015-09-07,1112000 ,-1.506 
2015-09-08,1131000 ,1.709 
2015-09-09,1147000 ,1.415 
2015-09-10,1134000 ,-1.133 
2015-09-11,1115000 ,-1.675 
2015-09-14,1124000 ,0.807 
2015-09-15,1123000 ,-0.089 
2015-09-16,1152000 ,2.582 
2015-09-17,1157000 ,0.434 
2015-09-18,1190000 ,2.852 
2015-09-21,1150000 ,-3.361 
2015-09-22,1145000 ,-0.435 
2015-09-23,1131000 ,-1.223 
2015-09-24,1126000 ,-0.442 
2015-09-25,1112000 ,-1.243 
2015-09-30,1134000 ,1.978 
2015-10-01,1134000 ,0.000 
2015-10-02,1119000 ,-1.323 
2015-10-05,1115000 ,-0.357 
2015-10-06,1151000 ,3.229 
2015-10-07,1251000 ,8.688 
2015-10-08,1270000 ,1.519 
2015-10-12,1260000 ,-0.787 
2015-10-13,1252000 ,-0.635 
2015-10-14,1254000 ,0.160 
2015-10-15,1269000 ,1.196 
2015-10-16,1265000 ,-0.315 
2015-10-19,1256000 ,-0.711 
2015-10-20,1266000 ,0.796 
2015-10-21,1270000 ,0.316 
2015-10-22,1280000 ,0.787 
2015-10-23,1289000 ,0.703 
2015-10-26,1292000 ,0.233 
2015-10-27,1298000 ,0.464 
2015-10-28,1308000 ,0.770 
2015-10-29,1325000 ,1.300 
2015-10-30,1372000 ,3.547 
2015-11-02,1383000 ,0.802 
2015-11-03,1352000 ,-2.242 
2015-11-04,1330000 ,-1.627 
2015-11-05,1342000 ,0.902 
2015-11-06,1338000 ,-0.298 
2015-11-09,1344000 ,0.448 
2015-11-10,1321000 ,-1.711 
2015-11-11,1333000 ,0.908 
2015-11-12,1317000 ,-1.200 
2015-11-13,1300000 ,-1.291 
2015-11-16,1263000 ,-2.846 
2015-11-17,1270000 ,0.554 
2015-11-18,1281000 ,0.866 
2015-11-19,1289000 ,0.625 
2015-11-20,1285000 ,-0.310 
2015-11-23,1282000 ,-0.233 
2015-11-24,1299000 ,1.326 
2015-11-25,1299000 ,0.000 
2015-11-26,1335000 ,2.771 
2015-11-27,1327000 ,-0.599 
2015-11-30,1284000 ,-3.240 
2015-12-01,1321000 ,2.882 
2015-12-02,1300000 ,-1.590 
2015-12-03,1290000 ,-0.769 
2015-12-04,1269000 ,-1.628 
2015-12-07,1262000 ,-0.552 
2015-12-08,1262000 ,0.000 
2015-12-09,1263000 ,0.079 
2015-12-10,1283000 ,1.584 
2015-12-11,1284000 ,0.078 
2015-12-14,1261000 ,-1.791 
2015-12-15,1277000 ,1.269 
2015-12-16,1299000 ,1.723 
2015-12-17,1290000 ,-0.693 
2015-12-18,1278000 ,-0.930 
2015-12-21,1280000 ,0.156 
2015-12-22,1292000 ,0.938 
2015-12-23,1295000 ,0.232 
2015-12-24,1285000 ,-0.772 
2015-12-28,1266000 ,-1.479 
2015-12-29,1254000 ,-0.948 
2015-12-30,1260000 ,0.478 
2016-01-04,1205000 ,-4.365 
2016-01-05,1208000 ,0.249 
2016-01-06,1175000 ,-2.732 
2016-01-07,1163000 ,-1.021 
2016-01-08,1171000 ,0.688 
2016-01-11,1152000 ,-1.623 
2016-01-12,1146000 ,-0.521 
2016-01-13,1148000 ,0.175 
2016-01-14,1138000 ,-0.871 
2016-01-15,1132000 ,-0.527 
2016-01-18,1126000 ,-0.530 
2016-01-19,1171000 ,3.996 
2016-01-20,1138000 ,-2.818 
2016-01-21,1131000 ,-0.615 
2016-01-22,1168000 ,3.271 
2016-01-25,1162000 ,-0.514 
2016-01-26,1137000 ,-2.151 
2016-01-27,1175000 ,3.342 
2016-01-28,1145000 ,-2.553 
2016-01-29,1150000 ,0.437 
2016-02-01,1163000 ,1.130 
2016-02-02,1156000 ,-0.602 
2016-02-03,1146000 ,-0.865 
2016-02-04,1156000 ,0.873 
2016-02-05,1164000 ,0.692 
2016-02-11,1130000 ,-2.921 
2016-02-12,1130000 ,0.000 
2016-02-15,1154000 ,2.124 
2016-02-16,1168000 ,1.213 
2016-02-17,1185000 ,1.455 
2016-02-18,1187000 ,0.169 
2016-02-19,1190000 ,0.253 
2016-02-22,1175000 ,-1.261 
2016-02-23,1181000 ,0.511 
2016-02-24,1172000 ,-0.762 
2016-02-25,1179000 ,0.597 
2016-02-26,1172000 ,-0.594 
2016-02-29,1178000 ,0.512 
2016-03-02,1197000 ,1.613 
2016-03-03,1220000 ,1.921 
2016-03-04,1215000 ,-0.410 
2016-03-07,1223000 ,0.658 
2016-03-08,1192000 ,-2.535 
2016-03-09,1194000 ,0.168 
2016-03-10,1225000 ,2.596 
2016-03-11,1249000 ,1.959 
2016-03-14,1255000 ,0.480 
2016-03-15,1253000 ,-0.159 
2016-03-16,1256000 ,0.239 
2016-03-17,1263000 ,0.557 
2016-03-18,1273000 ,0.792 
2016-03-21,1267000 ,-0.471 
2016-03-22,1269000 ,0.158 
2016-03-23,1279000 ,0.788 
2016-03-24,1282000 ,0.235 
2016-03-25,1288000 ,0.468 
